ID,Predicted price
16188,461695.69927
16189,211315.13277
16190,581919.18341
16191,211870.05595
16192,470712.83412
16193,1001992.9801
16194,345184.90508
16195,446519.80364
16196,405425.53046
16197,595528.25083
16198,595374.54706
16199,224385.47688
16200,1065954.9492
16201,483452.66093
16202,334619.82455
16203,373762.4841
16204,340018.71127
16205,337705.06756
16206,219591.60802
16207,869207.32315
16208,254676.0026
16209,1132351.0379
16210,255764.9461
16211,373252.40958
16212,825680.22781
16213,554375.62554
16214,284392.9892
16215,563070.15016
16216,570628.26134
16217,374085.95105
16218,1038466.9812
16219,229353.55566
16220,462612.84384
16221,717582.11577
16222,221474.5636
16223,475389.3862
16224,282936.9637
16225,567276.24255
16226,868259.01861
16227,276119.41036
16228,579374.55408
16229,209157.93741
16230,234225.16157
16231,812172.9699
16232,393987.32866
16233,232859.97223
16234,798054.75403
16235,354141.01377
16236,243215.45548
16237,337380.7892
16238,254316.00406
16239,615989.85511
16240,702750.88334
16241,526905.51542
16242,658039.68429
16243,230397.26961
16244,421165.83977
16245,174762.03161
16246,287713.50891
16247,515897.52698
16248,596462.52255
16249,484730.82064
16250,756716.33949
16251,338168.61075
16252,417245.32844
16253,624051.33164
16254,555323.36938
16255,811471.30536
16256,516321.73521
16257,606373.80317
16258,213968.19084
16259,598616.46894
16260,720796.06109
16261,287251.7152
16262,1754685.1937
16263,225522.77873
16264,891960.46185
16265,355908.22379
16266,306683.24714
16267,627329.82997
16268,614576.6864
16269,465813.1835
16270,525973.12309
16271,745695.91493
16272,380292.15981
16273,209537.58679
16274,260437.72836
16275,260437.72836
16276,576379.22092
16277,959317.03675
16278,625661.20606
16279,263778.26646
16280,234790.8786
16281,304367.28424
16282,732408.35056
16283,422040.19352
16284,524879.75786
16285,307567.24901
16286,1562056.7689
16287,632062.79705
16288,583984.27001
16289,335424.06467
16290,505250.7981
16291,538532.70859
16292,691800.08677
16293,453355.23716
16294,383598.72529
16295,309463.45326
16296,377383.12871
16297,1135688.8019
16298,909798.69065
16299,950098.24585
16300,369883.51212
16301,250913.02302
16302,466832.98154
16303,1000941.8082
16304,371182.70633
16305,241397.98191
16306,300615.13002
16307,304720.28901
16308,846731.28719
16309,375005.44212
16310,482572.6048
16311,1423976.7418
16312,360095.97437
16313,989761.02771
16314,237350.95992
16315,559867.28805
16316,520623.04732
16317,314657.77484
16318,1562016.7396
16319,274631.99517
16320,210849.82606
16321,238602.73065
16322,324296.56551
